"","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
144,"Rwanda",1355.0,1464.0,1496,1559,1720,1816,1910,2005,2176,2369
145,"Samoa",4743.0,4987.0,4848,4897,4982,5190,5631,5794,5873,6214
146,"San Marino",63060.0,58184.0,54797,53898,55875,56138,58103,59522,61531,63606
147,"São Tomé and Príncipe",2966.0,3090.0,3042,3409,3912,3905,3952,3975,4093,4178
148,"Saudi Arabia",51270.0,55918.0,57284,56016,56786,49637,46423,48015,49190,49056
149,"Senegal",2653.0,2670.0,2739,2742,2831,2971,3076,3204,3389,3510
150,"Serbia",13095.0,13742.0,13929,14624,14657,14932,15856,16621,17881,19041
151,"Seychelles",18914.0,20948.0,21565,22369,24683,24813,27077,28531,29817,30991
152,"Sierra Leone",1134.0,1203.0,1405,1747,1788,1599,1678,1634,1694,1777
153,"Singapore",75390.0,80052.0,82065,83002,84423,86975,89437,95310,100686,102431
154,"Slovakia",24992.0,26175.0,26905,27929,28944,29986,29668,30901,32793,34203
155,"Slovenia",28181.0,28969.0,29066,29990,30883,31647,33947,36680,39211,41011
156,"Solomon Islands",1946.0,2077.0,2089,2177,2184,2183,2266,2318,2376,2399
157,"Somalia","","",960,870,999,1162,1218,1158,1195,1216
158,"South Africa",12885.0,13362.0,13191,13591,13595,13697,13738,13839,14176,14268
159,"South Sudan","",3101.0,1341,1578,1508,1362,1028,889,864,860
160,"Spain",31597.0,31872.0,31725,32453,33544,34939,37310,39626,41328,42600
161,"Sri Lanka",8483.0,9347.0,10619,11244,11707,12208,13057,13584,14082,14215
162,"Saint Kitts and Nevis",21570.0,22133.0,21039,21859,23555,23424,24378,25341,26369,27846
163,"Saint Lucia",13048.0,13828.0,13604,13985,14166,13924,14634,15236,15924,16002
164,"Saint Vincent and the Grenadines",10659.0,10802.0,10941,11482,11891,12035,13012,13030,13738,14029
165,"Sudan",4282.0,5198.0,3929,3935,4509,4438,5569,4705,4572,4408
166,"Suriname",14453.0,15363.0,16890,17909,18301,16963,14778,17880,18994,19288
167,"Sweden",42499.0,44450.0,45259,46099,46937,48858,50062,52413,54124,55656
168,"Switzerland",56158.0,57786.0,59749,62058,63807,65612,67686,68914,72033,73644
169,"Syria",6374.0,6374.0,6374,6374,6374,6374,6374,6374,6374,6374
170,"Taiwan",38404.0,40533.0,41741,43435,45494,46911,47272,48501,51005,53476
171,"Tajikistan",2294.0,2459.0,2709,3004,3304,2958,3089,3238,3494,3744
172,"Tanzania",2067.0,2210.0,2099,2195,2243,2348,2479,2528,2687,2840
173,"Thailand",13197.0,13519.0,14871,15408,15480,15822,16616,17423,18534,19217
174,"Timor-Leste",1939.0,2060.0,2346,2483,2721,2913,3131,3177,3168,3780
175,"Togo",1544.0,1633.0,1656,1721,1792,1885,1954,2012,2110,2211
176,"Tonga",4135.0,4488.0,4608,4729,4940,5075,5518,5813,5974,6131
177,"Trinidad and Tobago",30928.0,31321.0,30085,30088,29727,27652,26375,27278,27617,27960
178,"Tunisia",10679.0,10557.0,10692,10710,10945,10735,10898,11138,11568,11814
179,"Turkey",17376.0,19460.0,20504,22221,23946,25691,26514,28242,29346,29688
180,"Turkmenistan",15034.0,17027.0,17096,16673,17210,16850,16038,17512,17900,17102
181,"Tuvalu",2880.0,3120.0,3009,3186,3287,3617,3812,4104,4252,4909
182,"Uganda",2416.0,2570.0,2373,2395,2441,2406,2359,2384,2498,2673
183,"Ukraine",8296.0,8959.0,9389,10749,10804,10225,11216,11943,12725,13447
184,"United Arab Emirates",67135.0,72144.0,74088,74734,77094,67254,65651,68504,70502,73142
185,"United Kingdom",36379.0,37364.0,38511,40233,41584,42928,44606,46553,48164,49576
186,"United States",48586.0,50008.0,51737,53246,55084,56730,57840,59886,62770,65052
187,"Uruguay",18070.0,19307.0,19489,20475,21492,21614,22093,22637,23204,23617
188,"Uzbekistan",5580.0,5888.0,6107,6355,6551,6740,6856,6898,7319,7733
189,"Vanuatu",2357.0,2426.0,2440,2438,2504,2481,2586,2739,2821,2898
190,"Venezuela",16693.0,17494.0,18553,18862,18209,17014,14213,12322,10676,8167
191,"Vietnam",5357.0,5826.0,6400,6763,7281,7635,8316,9086,9867,10559
192,"Palestine",3698.0,4035.0,4720,4826,5192,5612,5945,6025,6089,6128
193,"Yemen",4083.0,3541.0,3430,3627,3593,2548,2276,2150,2167,2186
194,"Zambia",3108.0,3250.0,3348,3504,3467,3360,3333,3407,3520,3526
195,"Zimbabwe",1884.0,2175.0,2386,2546,2577,2643,2668,2312,2444,2294
