,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
137,Philippines,1923.0,2123.0,2279.0,2353.0,2205.0,2058.0,2119.0,2210.0,2389.0,2575.0,2690.0,2705.0,2715.0,2775.0,2891.0,3017.0,3094.0,3238.0,3178.0,3260.0,3482.0,3592.0,3705.0,3891.0,4174.0,4432.0,4722.0,5072.0,5298.0,5316.0,5677.0,5919.0,6360,6688,7045,7278,7789,8199,8793,9363,8457,9190,10344,11106,11871,12658,13507,14421
138,Poland,4824.0,4710.0,4715.0,5102.0,5221.0,5553.0,5826.0,6077.0,6492.0,6996.0,6674.0,6399.0,6661.0,7090.0,7605.0,8287.0,8958.0,9751.0,10347.0,10965.0,11814.0,12229.0,12603.0,13310.0,14358.0,15335.0,16784.0,18470.0,19620.0,20295.0,21370.0,22828.0,23745,24553,25471,26856,28321,30162,32532,34689,34348,37997,42466,44249,46661,49223,51920,54680
139,Portugal,6061.0,6809.0,7341.0,7667.0,7831.0,8188.0,8622.0,9512.0,10385.0,11526.0,12925.0,13845.0,14615.0,14840.0,15341.0,15969.0,16768.0,17729.0,18696.0,19589.0,20651.0,21376.0,21757.0,21897.0,22832.0,23689.0,24772.0,26028.0,26573.0,25884.0,26638.0,26769.0,26438,27936,28742,29669,31604,33086,34898,36466,33754,36892,42067,43949,46061,48047,50019,52087
140,Puerto Rico,6926.0,7600.0,7757.0,8026.0,8842.0,9221.0,10074.0,10720.0,11695.0,12614.0,13444.0,14127.0,15007.0,15962.0,16860.0,17858.0,18456.0,19527.0,20851.0,21880.0,22935.0,25617.0,26547.0,27687.0,28990.0,29347.0,29953.0,30583.0,30775.0,30533.0,30929.0,31824.0,32583,33173,33683,34007,34300,34627,35044,36201,35660,38608,43820,46023,46704,47572,48723,50167
141,Qatar,85154.0,82690.0,74835.0,68713.0,77414.0,65757.0,66236.0,65708.0,68448.0,72093.0,54629.0,54629.0,61134.0,61724.0,63855.0,64640.0,67091.0,84382.0,90512.0,91619.0,96567.0,100130.0,105585.0,106791.0,119823.0,116862.0,130946.0,133453.0,118534.0,127889.0,145599.0,163740.0,169698,161194,143222,97846,84269,91743,93869,94864,96554,104740,113675,123039,129088,136550,144331,154263
142,Romania,4955.0,5397.0,5925.0,6501.0,7110.0,7295.0,7580.0,7786.0,7978.0,7782.0,7611.0,6861.0,6427.0,6717.0,7174.0,7894.0,8403.0,8073.0,7810.0,7866.0,8287.0,8927.0,9853.0,10362.0,11808.0,12830.0,14372.0,15923.0,18164.0,17437.0,17079.0,17851.0,18834,19746,20612,21547,24197,27220,29282,31226,30571,33936,38097,40673,43100,45450,47940,50573
143,Russia,,,,,,,,,,,,,10805.0,10091.0,8999.0,8818.0,8668.0,8958.0,8588.0,9303.0,10512.0,11346.0,12127.0,13333.0,14728.0,16222.0,18133.0,20229.0,21700.0,20118.0,21272.0,22784.0,24279,26045,25731,24062,24104,25999,27386,28495,28181,30876,31967,32391,33619,34650,35666,36686
144,Rwanda,413.0,447.0,446.0,474.0,541.0,564.0,587.0,579.0,581.0,551.0,560.0,538.0,586.0,573.0,367.0,494.0,568.0,634.0,636.0,602.0,650.0,702.0,787.0,801.0,853.0,940.0,1035.0,1119.0,1228.0,1286.0,1355.0,1464.0,1496,1559,1720,1816,1910,2005,2176,2369,2264,2555,2836,3064,3273,3507,3709,3926
145,Samoa,,,,,,,,,,,,,,,,,,,2688.0,2696.0,2884.0,3150.0,3360.0,3583.0,3769.0,4120.0,4310.0,4419.0,4633.0,4605.0,4743.0,4987.0,4848,4897,4982,5190,5631,5794,5873,6214,6053,5819,5882,6295,6656,6973,7272,7554
146,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,62451.0,65216.0,68919.0,74852.0,75030.0,67001.0,63060.0,58184.0,54797,53898,55875,56138,58103,59522,61531,63606,59762,65432,72070,74970,77135,79352,81669,84079
147,São Tomé and Príncipe,1559.0,1500.0,1607.0,1568.0,1489.0,1635.0,1530.0,1480.0,1519.0,1582.0,1561.0,1588.0,1588.0,1625.0,1664.0,1701.0,1726.0,1741.0,1772.0,1809.0,1825.0,1879.0,1918.0,2042.0,2128.0,2293.0,2512.0,2589.0,2793.0,2811.0,2966.0,3090.0,3042,3409,3912,3905,3952,3975,4093,4178,4257,4415,4710,4895,5058,5233,5220,5422
148,Saudi Arabia,44859.0,47672.0,38212.0,31746.0,29864.0,26466.0,30087.0,27414.0,30571.0,30104.0,34261.0,38794.0,38823.0,38456.0,38550.0,38497.0,39272.0,39422.0,40036.0,38136.0,40207.0,39642.0,38188.0,42279.0,45739.0,48168.0,49363.0,49937.0,52302.0,49863.0,51270.0,55918.0,57284,56016,56786,49637,46423,48015,49190,49056,46512,49386,55802,58736,60514,62180,63953,65847
149,Senegal,1069.0,1197.0,1333.0,1274.0,1330.0,1376.0,1404.0,1481.0,1479.0,1551.0,1553.0,1601.0,1613.0,1625.0,1610.0,1698.0,1717.0,1751.0,1833.0,1925.0,1997.0,2080.0,2063.0,2167.0,2270.0,2381.0,2447.0,2517.0,2590.0,2606.0,2653.0,2670.0,2739,2742,2831,2971,3076,3204,3389,3510,3504,3767,4113,4482,4917,5112,5327,5557
150,Serbia,,,,,,,,,,,,,,,,,,,,,6309.0,6785.0,7384.0,7883.0,8847.0,10082.0,10967.0,12037.0,13017.0,12794.0,13095.0,13742.0,13929,14624,14657,14932,15856,16621,17881,19041,19190,21637,24084,25719,27287,29161,31029,33042
151,Seychelles,4354.0,4526.0,4678.0,4837.0,5197.0,5865.0,5991.0,6171.0,6704.0,7638.0,8473.0,8882.0,9691.0,10426.0,10116.0,10227.0,11288.0,12733.0,12938.0,13106.0,13849.0,13827.0,13952.0,13380.0,13397.0,14993.0,16560.0,18684.0,18231.0,18076.0,18914.0,20948.0,21565,22369,24683,24813,27077,28531,29817,30991,28704,31988,37661,40649,43111,45452,47690,50044
152,Sierra Leone,783.0,852.0,902.0,901.0,944.0,891.0,890.0,914.0,945.0,1007.0,1046.0,988.0,913.0,939.0,997.0,918.0,701.0,585.0,580.0,531.0,549.0,639.0,786.0,836.0,876.0,909.0,946.0,1021.0,1072.0,1088.0,1134.0,1203.0,1405,1747,1788,1599,1678,1634,1694,1777,1727,1835,1972,2067,2170,2275,2371,2470
153,Singapore,9479.0,10959.0,11927.0,13281.0,14690.0,15039.0,15563.0,17406.0,19547.0,21730.0,23813.0,25528.0,27019.0,30059.0,33055.0,35087.0,36870.0,39283.0,37557.0,39944.0,43776.0,43104.0,45080.0,48775.0,54377.0,58815.0,64054.0,68794.0,67718.0,66212.0,75390.0,80052.0,82065,83002,84423,86975,89437,95310,100686,102431,99681,116486,131426,140280,147118,152667,158689,164987
154,Slovakia,,,,,,,,,,,,,,8239.0,8888.0,9734.0,10578.0,11300.0,11874.0,12015.0,12419.0,13160.0,13968.0,15038.0,16266.0,17884.0,20001.0,22766.0,24483.0,23268.0,24992.0,26175.0,26905,27929,28944,29986,29668,30901,32793,34203,33061,35463,38620,40546,42752,44884,47053,49246
155,Slovenia,,,,,,,,,,,,,11165.0,11808.0,12700.0,13496.0,14233.0,15234.0,15927.0,17070.0,18012.0,18988.0,19920.0,20904.0,22385.0,23950.0,26033.0,28503.0,30070.0,27675.0,28181.0,28969.0,29066,29990,30883,31647,33947,36680,39211,41011,39428,44162,49968,52518,55173,57901,60809,63881
156,Solomon Islands,967.0,1005.0,1015.0,1061.0,1067.0,1035.0,1023.0,1105.0,1126.0,1187.0,1224.0,1304.0,1461.0,1512.0,1622.0,1773.0,1783.0,1748.0,1741.0,1710.0,1459.0,1336.0,1284.0,1359.0,1451.0,1541.0,1627.0,1706.0,1799.0,1814.0,1946.0,2077.0,2089,2177,2184,2183,2266,2318,2376,2399,2295,2333,2336,2429,2484,2550,2617,2688
157,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,870,999,1162,1218,1158,1195,1216,1193,1245,1322,1373,1414,1456,1501,1549
158,South Africa,5110.0,5745.0,5922.0,5886.0,6250.0,6221.0,6207.0,6356.0,6712.0,6990.0,7067.0,7059.0,6890.0,6966.0,7172.0,7391.0,7705.0,7908.0,7916.0,8099.0,8502.0,8767.0,9107.0,9469.0,10058.0,10795.0,11610.0,12398.0,12854.0,12548.0,12885.0,13362.0,13191,13591,13595,13697,13738,13839,14176,14268,13332,14442,15556,16043,16335,16618,16914,17220
159,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101.0,1341,1578,1508,1362,1028,889,864,860,790,843,934,993,1031,1068,1104,1142
160,Spain,7819.0,8444.0,9028.0,9492.0,9962.0,10483.0,11029.0,11919.0,12964.0,14118.0,15183.0,16051.0,16502.0,16619.0,17324.0,18373.0,19118.0,20146.0,21209.0,22413.0,23877.0,25245.0,25919.0,26721.0,27856.0,29232.0,30877.0,32218.0,32590.0,31301.0,31597.0,31872.0,31725,32453,33544,34939,37310,39626,41328,42600,38244,41838,46551,48594,50704,52867,54813,56673
161,Sri Lanka,1210.0,1377.0,1519.0,1612.0,1764.0,1891.0,1992.0,2051.0,2158.0,2271.0,2476.0,2519.0,2467.0,2686.0,2936.0,3153.0,3577.0,3990.0,3949.0,4098.0,4516.0,4496.0,4698.0,5033.0,5404.0,5873.0,6469.0,7043.0,7551.0,7814.0,8483.0,9347.0,10619,11244,11707,12208,13057,13584,14082,14215,13813,14707,14230,14140,14492,14983,15563,16185
162,Saint Kitts and Nevis,3008.0,3400.0,3850.0,3939.0,4501.0,4975.0,5566.0,6227.0,7166.0,7933.0,8682.0,9140.0,9555.0,10192.0,10835.0,11307.0,12058.0,13022.0,13162.0,13717.0,15204.0,16153.0,16397.0,15837.0,16677.0,18626.0,19565.0,19981.0,22394.0,21539.0,21570.0,22133.0,21039,21859,23555,23424,24378,25341,26369,27846,24000,23857,27782,29856,31472,32591,33763,34988
163,Saint Lucia,2434.0,2762.0,2957.0,3156.0,3483.0,3983.0,4578.0,4807.0,5586.0,6217.0,7013.0,7177.0,7800.0,7977.0,8114.0,8266.0,8524.0,8461.0,8957.0,9220.0,9294.0,9069.0,9177.0,9667.0,10529.0,10690.0,11562.0,11965.0,12640.0,12910.0,13048.0,13828.0,13604,13985,14166,13924,14634,15236,15924,16002,12173,14140,16417,17880,18825,19444,20016,20572
164,Saint Vincent and the Grenadines,1937.0,2183.0,2359.0,2511.0,2719.0,2904.0,3102.0,3178.0,3701.0,3952.0,4264.0,4471.0,4891.0,5181.0,5223.0,5688.0,5846.0,6162.0,6501.0,6723.0,6991.0,7254.0,7717.0,8342.0,8877.0,9353.0,10260.0,10850.0,11093.0,11015.0,10659.0,10802.0,10941,11482,11891,12035,13012,13030,13738,14029,13433,14051,15786,17310,18502,19484,20369,21300
165,Sudan,1080.0,1221.0,1312.0,1305.0,1219.0,1216.0,1327.0,1408.0,1491.0,1533.0,1507.0,1618.0,1696.0,1733.0,1780.0,2049.0,2151.0,2273.0,2438.0,2526.0,2737.0,3025.0,3175.0,3349.0,3524.0,3750.0,4014.0,4248.0,4382.0,4180.0,4282.0,5198.0,3929,3935,4509,4438,5569,4705,4572,4408,4190,4275,4450,4608,4840,5133,5429,5716
166,Suriname,,,,,,,,,,,6984.0,6132.0,6440.0,6353.0,5963.0,6677.0,7471.0,8013.0,8183.0,8103.0,8180.0,8647.0,9002.0,9651.0,10444.0,11172.0,12043.0,12853.0,13456.0,13762.0,14453.0,15363.0,16890,17909,18301,16963,14778,17880,18994,19288,16292,16178,17350,18172,18877,19566,20294,21054
167,Sweden,10532.0,12044.0,12960.0,13740.0,14833.0,15629.0,16372.0,17264.0,18216.0,19279.0,20001.0,20323.0,20478.0,20455.0,21538.0,22800.0,23565.0,24699.0,26034.0,27500.0,29393.0,30401.0,31441.0,32675.0,34868.0,36841.0,39463.0,41605.0,41877.0,39953.0,42499.0,44450.0,45259,46099,46937,48858,50062,52413,54124,55656,54830,59587,63877,65459,67666,69935,72080,74376
168,Switzerland,18092.0,20029.0,20856.0,21678.0,23084.0,24591.0,25433.0,26310.0,27943.0,30083.0,32106.0,32479.0,32754.0,33167.0,34016.0,34675.0,35259.0,36567.0,37983.0,38999.0,41280.0,42699.0,42990.0,43454.0,45449.0,47869.0,51093.0,54172.0,56069.0,54346.0,56158.0,57786.0,59749,62058,63807,65612,67686,68914,72033,73644,72143,77741,84469,87522,90290,92379,95118,97392
169,Syria,2073.0,2379.0,2507.0,2562.0,2402.0,2571.0,2418.0,2426.0,2739.0,2587.0,2863.0,3182.0,3581.0,3830.0,4019.0,4217.0,4314.0,4238.0,4418.0,4236.0,4318.0,4457.0,4662.0,4524.0,4816.0,5107.0,5396.0,5715.0,5938.0,6176.0,6374.0,6374.0,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374,6374
170,Taiwan,3446.0,3967.0,4338.0,4843.0,5441.0,5809.0,6542.0,7476.0,8264.0,9244.0,9999.0,11092.0,12171.0,13186.0,14354.0,15476.0,16602.0,17731.0,18527.0,19904.0,21461.0,21512.0,22927.0,24277.0,26562.0,28767.0,31221.0,34139.0,34952.0,34485.0,38404.0,40533.0,41741,43435,45494,46911,47272,48501,51005,53476,56038,62696,69500,74067,77232,80247,83413,86730
171,Tajikistan,,,,,,,,,,,,,1463.0,1322.0,1055.0,933.0,898.0,915.0,955.0,975.0,1062.0,1176.0,1279.0,1409.0,1568.0,1690.0,1825.0,1977.0,2128.0,2176.0,2294.0,2459.0,2709,3004,3304,2958,3089,3238,3494,3744,3879,4329,4803,5081,5303,5524,5760,6008
172,Tanzania,580.0,619.0,641.0,661.0,687.0,719.0,759.0,799.0,838.0,877.0,943.0,962.0,957.0,958.0,963.0,989.0,1025.0,1054.0,1081.0,1122.0,1175.0,1241.0,1314.0,1393.0,1499.0,1614.0,1693.0,1833.0,1918.0,1977.0,2067.0,2210.0,2099,2195,2243,2348,2479,2528,2687,2840,2926,3105,3374,3569,3758,3956,4180,4427
173,Thailand,1576.0,1791.0,1966.0,2117.0,2278.0,2416.0,2554.0,2815.0,3244.0,3723.0,4251.0,4708.0,5207.0,5741.0,6275.0,6857.0,7296.0,7133.0,6582.0,6900.0,7295.0,7645.0,8173.0,8867.0,9611.0,10261.0,11037.0,11884.0,12256.0,12188.0,13197.0,13519.0,14871,15408,15480,15822,16616,17423,18534,19217,18198,19203,21114,22645,23913,25143,26424,27744
174,Timor-Leste,,,,,,,,,,,,,,,,,,,,,1249.0,1459.0,1350.0,1312.0,1318.0,1367.0,1323.0,1469.0,1638.0,1784.0,1939.0,2060.0,2346,2483,2721,2913,3131,3177,3168,3780,4141,4263,3904,3545,3595,3683,3776,3897
175,Togo,997.0,1020.0,1006.0,955.0,1010.0,1043.0,1063.0,1029.0,1138.0,1198.0,1282.0,1288.0,1248.0,1047.0,1191.0,1419.0,1350.0,1382.0,1323.0,1333.0,1311.0,1314.0,1350.0,1432.0,1420.0,1360.0,1402.0,1385.0,1429.0,1477.0,1544.0,1633.0,1656,1721,1792,1885,1954,2012,2110,2211,2222,2377,2619,2810,2982,3157,3343,3542
176,Tonga,723.0,897.0,1069.0,1163.0,1718.0,1882.0,2100.0,2182.0,2169.0,2268.0,2451.0,2667.0,2612.0,2658.0,2777.0,3049.0,3098.0,3126.0,3221.0,3327.0,3516.0,3633.0,3840.0,3901.0,3914.0,4004.0,4020.0,4009.0,4270.0,4064.0,4135.0,4488.0,4608,4729,4940,5075,5518,5813,5974,6131,6243,6337,6663,7111,7467,7806,8110,8429
177,Trinidad and Tobago,6975.0,7859.0,8522.0,7818.0,7522.0,7343.0,7165.0,6942.0,6850.0,7009.0,7331.0,7764.0,8689.0,8786.0,9250.0,9767.0,10627.0,11603.0,12668.0,13853.0,15106.0,15961.0,17293.0,19982.0,21910.0,23812.0,27897.0,29736.0,31159.0,29700.0,30928.0,31321.0,30085,30088,29727,27652,26375,27278,27617,27960,26125,26878,29797,31769,33415,34738,35638,36757
178,Tunisia,2243.0,2519.0,2599.0,2761.0,2990.0,3155.0,3053.0,3269.0,3330.0,3487.0,3757.0,3956.0,4276.0,4393.0,4560.0,4698.0,5033.0,5339.0,5599.0,5954.0,6288.0,6615.0,6752.0,7155.0,7744.0,8196.0,8810.0,9560.0,10049.0,10308.0,10679.0,10557.0,10692,10710,10945,10735,10898,11138,11568,11814,10802,11515,12490,13034,13479,13951,14483,15043
179,Turkey,3516.0,3927.0,4215.0,4486.0,4858.0,5116.0,5471.0,6051.0,6280.0,6427.0,7159.0,7345.0,7832.0,8523.0,8101.0,8729.0,9369.0,10096.0,10377.0,10035.0,10819.0,10288.0,10988.0,11713.0,13045.0,14483.0,15768.0,16805.0,17042.0,16089.0,17376.0,19460.0,20504,22221,23946,25691,26514,28242,29346,29688,30460,34884,38759,40883,42516,44102,45818,47628
180,Turkmenistan,,,,,,,,,,,,,4330.0,3949.0,3251.0,3012.0,2809.0,2494.0,2655.0,3099.0,3714.0,4522.0,5260.0,6217.0,7245.0,8356.0,9452.0,10655.0,12310.0,12987.0,15034.0,17027.0,17096,16673,17210,16850,16038,17512,17900,17102,16458,17669,18875,19727,20367,20885,21388,21928
181,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,2742.0,2698.0,2683.0,2630.0,2711.0,2939.0,3151.0,2955.0,2880.0,3120.0,3009,3186,3287,3617,3812,4104,4252,4909,4999,5317,5844,6239,6599,6950,7316,7689
182,Uganda,525.0,580.0,646.0,683.0,665.0,644.0,640.0,657.0,710.0,757.0,807.0,820.0,860.0,908.0,967.0,1045.0,1098.0,1132.0,1177.0,1249.0,1284.0,1383.0,1456.0,1521.0,1597.0,1753.0,1870.0,2006.0,2181.0,2294.0,2416.0,2570.0,2373,2395,2441,2406,2359,2384,2498,2673,2577,2780,3018,3214,3377,3590,3775,3933
183,Ukraine,,,,,,,,,,,,,6383.0,5623.0,4464.0,4035.0,3733.0,3715.0,3717.0,3795.0,4148.0,4655.0,5021.0,5652.0,6536.0,7002.0,7814.0,8734.0,9143.0,7843.0,8296.0,8959.0,9389,10749,10804,10225,11216,11943,12725,13447,13203,14326,14326,14326,14326,14326,14326,14326
184,United Arab Emirates,89076.0,96709.0,89601.0,85306.0,85271.0,81399.0,64245.0,66552.0,56222.0,65074.0,84140.0,84999.0,85906.0,84878.0,86938.0,87499.0,92630.0,96855.0,89873.0,88354.0,102783.0,100667.0,99076.0,103682.0,110147.0,109109.0,101206.0,86481.0,70075.0,65807.0,67135.0,72144.0,74088,74734,77094,67254,65651,68504,70502,73142,67715,71077,77272,81753,85418,89049,92998,97360
185,United Kingdom,9085.0,9871.0,10700.0,11581.0,12247.0,13122.0,13777.0,14848.0,16200.0,17199.0,17905.0,18227.0,18653.0,19510.0,20625.0,21511.0,22383.0,23826.0,24785.0,25794.0,27253.0,28335.0,29263.0,30605.0,31999.0,33598.0,35288.0,36767.0,37077.0,35479.0,36379.0,37364.0,38511,40233,41584,42928,44606,46553,48164,49576,45329,50523,55862,57822,59160,61472,63829,65857
186,United States,12553.0,13949.0,14405.0,15514.0,17086.0,18199.0,19035.0,20001.0,21376.0,22814.0,23848.0,24303.0,25393.0,26364.0,27674.0,28671.0,29947.0,31440.0,32834.0,34496.0,36313.0,37101.0,37946.0,39405.0,41642.0,44034.0,46217.0,47943.0,48471.0,47102.0,48586.0,50008.0,51737,53246,55084,56730,57840,59886,62770,65052,63078,69227,75180,78422,80779,83463,86521,89546
187,Uruguay,5050.0,5594.0,5347.0,5198.0,5274.0,5422.0,5913.0,6381.0,6600.0,6896.0,7136.0,7594.0,8333.0,8705.0,9449.0,9449.0,10096.0,10665.0,11183.0,11043.0,11030.0,10837.0,10170.0,10480.0,11290.0,12472.0,13361.0,14616.0,15945.0,16654.0,18070.0,19307.0,19489,20475,21492,21614,22093,22637,23204,23617,22362,24233,27233,29109,30426,31668,32882,34154
188,Uzbekistan,,,,,,,,,,,,,2394.0,2341.0,2223.0,2208.0,2244.0,2327.0,2417.0,2520.0,2686.0,2824.0,2947.0,3093.0,3374.0,3678.0,4031.0,4473.0,4894.0,5236.0,5580.0,5888.0,6107,6355,6551,6740,6856,6898,7319,7733,7821,8585,9478,10074,10580,11095,11642,12222
189,Vanuatu,944.0,1042.0,1092.0,1141.0,1256.0,1260.0,1246.0,1223.0,1210.0,1268.0,1449.0,1515.0,1558.0,1576.0,1679.0,1687.0,1714.0,1782.0,1777.0,1763.0,1867.0,1803.0,1697.0,1764.0,1841.0,1955.0,2136.0,2206.0,2321.0,2356.0,2357.0,2426.0,2440,2438,2504,2481,2586,2739,2821,2898,2682,2713,2858,2951,3013,3083,3131,3177
190,Venezuela,7947.0,8332.0,8819.0,8034.0,8520.0,8625.0,9222.0,9661.0,10392.0,9075.0,9700.0,10744.0,11387.0,11427.0,11146.0,11575.0,11516.0,12209.0,12140.0,11349.0,11639.0,12102.0,11020.0,10200.0,12194.0,13658.0,15231.0,16754.0,17706.0,16993.0,16693.0,17494.0,18553,18862,18209,17014,14213,12322,10676,8167,5759,6106,7108,7954,7954,7954,7954,7954
191,Vietnam,538.0,611.0,688.0,751.0,827.0,884.0,914.0,939.0,1003.0,1101.0,1151.0,1236.0,1350.0,1468.0,1605.0,1766.0,1935.0,2096.0,2207.0,2310.0,2489.0,2685.0,2881.0,3124.0,3427.0,3766.0,4114.0,4484.0,4783.0,5024.0,5357.0,5826.0,6400,6763,7281,7635,8316,9086,9867,10559,10877,11513,13075,14249,15371,16573,17889,19341
192,Palestine,,,,,,,,,,,,,,,2144.0,2188.0,2128.0,2347.0,2630.0,2799.0,2539.0,2291.0,1981.0,2242.0,2730.0,3043.0,3017.0,3123.0,3328.0,3544.0,3698.0,4035.0,4720,4826,5192,5612,5945,6025,6089,6128,5366,5838,6354,6657,6805,6919,7041,7172
193,Yemen,,,,,,,,,,,2002.0,2100.0,2208.0,2235.0,2324.0,2405.0,2471.0,2561.0,2666.0,2728.0,2880.0,2971.0,3049.0,3135.0,3255.0,3447.0,3566.0,3682.0,3784.0,3849.0,4083.0,3541.0,3430,3627,3593,2548,2276,2150,2167,2186,1980,1997,2136,2237,2395,2547,2698,2847
194,Zambia,1321.0,1493.0,1491.0,1486.0,1468.0,1488.0,1498.0,1513.0,1661.0,1614.0,1614.0,1608.0,1630.0,1620.0,1392.0,1425.0,1501.0,1543.0,1513.0,1562.0,1617.0,1697.0,1756.0,1867.0,1999.0,2153.0,2329.0,2520.0,2688.0,2869.0,3108.0,3250.0,3348,3504,3467,3360,3333,3407,3520,3526,3366,3559,3808,3983,4115,4257,4414,4589
195,Zimbabwe,,,,,,,,,,,,,,,,,,,2441.0,2454.0,2410.0,2459.0,2311.0,1973.0,1885.0,1784.0,1747.0,1729.0,1465.0,1569.0,1884.0,2175.0,2386,2546,2577,2643,2668,2312,2444,2294,2160,2364,2555,2662,2743,2824,2910,2999
