,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
36,China,307.0,348.0,397.0,451.0,531.0,613.0,668.0,753.0,853.0,910.0,967.0,1078.0,1246.0,1436.0,1639.0,1837.0,2035.0,2239.0,2420.0,2621.0,2886.0,3174.0,3495.0,3897.0,4381.0,5003.0,5783.0,6750.0,7501.0,8222.0,9160.0,10181.0,11137,11905,12496,12926,13432,14152,15410,16564,17115,19260,21291,23038,24599,26248,28022,29944
37,Colombia,2841.0,3111.0,3263.0,3371.0,3535.0,3786.0,4004.0,4234.0,4468.0,4704.0,4988.0,5171.0,5411.0,5746.0,6061.0,6402.0,6546.0,6798.0,6808.0,6531.0,6772.0,6952.0,7147.0,7479.0,7990.0,8524.0,9266.0,10042.0,10454.0,10525.0,11009.0,11893.0,12306,13025,13627,13611,14352,14764,15235,15633,14421,16403,18693,19573,20332,21168,22079,23035
38,Comoros,912.0,1027.0,1108.0,1160.0,1240.0,1275.0,1288.0,1306.0,1377.0,1374.0,1488.0,1492.0,1603.0,1647.0,1581.0,1670.0,1656.0,1722.0,1706.0,1740.0,1725.0,1821.0,1895.0,1929.0,1994.0,2121.0,2094.0,2113.0,2183.0,2210.0,2261.0,2341.0,2510,2628,2701,2684,2826,2980,3078,3105,3049,3162,3364,3473,3552,3635,3725,3817
39,Democratic Republic of the Congo,807.0,863.0,883.0,901.0,947.0,951.0,983.0,1001.0,1008.0,1001.0,940.0,861.0,758.0,646.0,597.0,607.0,589.0,527.0,502.0,480.0,438.0,426.0,432.0,451.0,478.0,507.0,533.0,563.0,590.0,591.0,621.0,656.0,657,741,837,893,951,1047,1098,1130,1126,1206,1328,1421,1503,1588,1675,1757
40,Republic of the Congo,1926.0,2099.0,2214.0,2285.0,2351.0,2408.0,2439.0,2481.0,3038.0,3602.0,3661.0,3798.0,3948.0,3995.0,3925.0,4065.0,4179.0,4106.0,4414.0,4206.0,4690.0,4453.0,4455.0,4453.0,4452.0,4892.0,5313.0,4972.0,5255.0,5760.0,6252.0,6364.0,7437,7123,6959,5445,4484,4987,4740,4687,4251,4295,4682,4948,5289,5337,5322,5470
41,Costa Rica,3560.0,3696.0,3533.0,3669.0,3990.0,4025.0,4206.0,4391.0,4578.0,4898.0,5137.0,5308.0,5799.0,6195.0,6422.0,6638.0,6668.0,6975.0,7375.0,7610.0,8142.0,8304.0,8572.0,8976.0,9473.0,10006.0,10906.0,11949.0,12570.0,12357.0,12932.0,13606.0,14368,15035,16077,17080,18503,19712,20480,21127,20303,22562,24837,26201,27290,28409,29617,30858
42,Ivory Coast,2585.0,2864.0,2933.0,2828.0,2793.0,2874.0,2956.0,2902.0,3010.0,3095.0,3051.0,3034.0,2978.0,2770.0,2751.0,2882.0,3086.0,3234.0,3345.0,3360.0,3279.0,3272.0,3185.0,3123.0,3164.0,3235.0,3300.0,3361.0,3424.0,3467.0,3489.0,3303.0,3563,3834,4237,4558,4629,4730,5045,5317,5347,5808,6397,6874,7291,7702,8116,8548
43,Croatia,,,,,,,,,,,,,8283.0,7979.0,8821.0,9757.0,10423.0,11114.0,11629.0,11547.0,12735.0,13670.0,14670.0,15783.0,16871.0,18129.0,19607.0,21131.0,21945.0,20501.0,20536.0,21013.0,21395,22080,22327,23305,25211,27129,28842,30552,28534,32879,37550,40485,42796,44811,46757,48707
44,Cyprus,5914.0,6589.0,7352.0,7942.0,8835.0,9436.0,9854.0,10701.0,11876.0,13147.0,14347.0,14553.0,15860.0,15953.0,16898.0,18776.0,19036.0,19578.0,20732.0,21827.0,23392.0,24613.0,25633.0,26518.0,28235.0,30110.0,32024.0,33932.0,34994.0,33616.0,33765.0,33755.0,31906,30237,29887,31848,35852,38516,41227,43593,41348,45065,49504,52057,54070,56084,58273,60684
45,Czech Republic,,,,,,,,,,,,,,,,14159.0,15088.0,15287.0,15419.0,15867.0,16895.0,17881.0,18501.0,19558.0,21045.0,23129.0,25395.0,27452.0,28482.0,27114.0,28010.0,29027.0,29270,30813,32542,33933,36137,39031,41129,42972,40927,44951,48919,51329,54374,57238,59973,62682
