Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,BMU,"65961,4062780667","63958,8962542416","64385,4074102651","65967,8500138776","65904,7204209603","68313,3818545185","69643,4075205287","72403,8804374561","74677,0924239116","76772,3238467835","83181,5263421175","88231,783860841","86364,153739107","88727,3112693061","90195,8115646944","91114,0769901835","95615,3606970562","98257,9926982026","95855,800692618","89961,9827443671","88399,9159492493","85829,3782604391","80982,367755316","80503,6502910788","77361,1048812589","77842,7539032209","78149,352535184","81834,9558735543","81423,4084533215","81681,7266682559","76117,8047438727","80271,1325977909"
Bolivia,BOL,"4437,866827327","4575,7067473638","4556,9934510586","4657,030395839","4779,8392249908","4909,1782551051","5028,4440944067","5181,4164998392","5343,9574083851","5270,0275393785","5305,6192566585","5300,3143354686","5337,7658490933","5387,5817702149","5515,6558154514","5660,5748153861","5829,3713288455","5989,6899226745","6248,9339530616","6349,0079092464","6499,818152836","6724,3006676905","6952,7383705801","7305,2279823669","7581,5984220518","7825,7667516736","8034,172726021","8244,9334445575","8466,2931867983","8528,7488022975","7679,9331868975","8052,1774350471"
Brazil,BRA,"10401,8424448513","10328,9571222146","10103,7879427817","10431,4096597108","10867,7509166537","11151,1916421663","11224,399456481","11432,650568882","11304,0969954988","11196,8385320757","11529,4866151644","11536,3638321407","11739,431843405","11733,4111975411","12268,6638325485","12520,8549899008","12877,4441830465","13518,8477758477","14067,9458125762","13916,9632254971","14824,7411544273","15271,4693518003","15425,3529285957","15751,4844481235","15695,6431041785","15011,5771943528","14402,4940082453","14477,86176806","14619,5911298271","14685,1278924673","14021,9576230488","14592,3529599447"
Barbados,BRB,"14097,395549571","13519,7214063592","12710,4193266718","12772,7871937179","12993,923523163","13225,7543853946","13726,0323199655","14353,1201186362","14864,6660584937","14884,601843092","15517,9408347638","15109,7633490269","15167,1267869806","15436,6024072213","15595,8529892111","16154,261200613","17081,6328435397","17371,072523883","17405,8935490311","16462,7067411057","16019,5074254818","15864,5723226189","15755,2669650598","15489,7611847758","15441,2197612068","15789,4512179828","16156,517559289","16198,9621604366","16003,8574255361","15954,802664829","13805,7775410846","13754,8024231781"
Brunei Darussalam,BRN,"70358,7240942878","70439,0532043465","71781,1028963074","70154,4247266124","70570,9645144198","71966,0974087827","72320,987984446","69660,1860061146","67770,1724900991","68366,6631773269","68865,7872998496","69338,9207191783","70631,8736782129","71331,7527275359","70415,4241541023","69482,3838018272","71352,8857884172","70342,4093047527","67934,0640848731","65753,4057014535","66484,2415406151","68037,5229790103","67792,7546260517","65534,6831602734","63131,186248062","62170,0870232201","59980,9887454086","60173,0511336013","59650,2315273035","61424,3643132688","61603,5508036186","60127,0236886271"
Bhutan,BTN,"2737,9930533342","2682,3093751262","2917,5795085031","3118,9632284965","3270,7487395137","3460,4611919587","3585,362961523","3713,2947201691","3860,347202307","4067,4651584608","4087,8306721644","4311,4468373407","4663,1276284832","4904,5109777803","5076,3153624598","5336,7762197068","5626,0547036777","6577,4317680979","6811,9331493701","7188,8591934529","7958,2268607304","8499,3542955282","8837,5763733848","8929,0462041945","9349,0443865547","9877,2472826014","10587,5703765341","10986,8881359297","11233,7805406359","11797,2841991497","10547,0515133499","10907,8567096084"
Botswana,BWA,"9164,8720715928","9569,4604181536","9570,5489566391","9476,6607379938","9550,8307754347","9956,808322388","10280,6266307681","10880,8526460191","10689,2167939379","11474,064720341","11462,0791450141","11262,8989022898","11725,5596219232","12054,874381419","12166,4670419996","12494,2168522251","13287,2254092564","13783,3794160472","13945,5986041353","11729,5652130738","12653,3706536362","13250,2511346351","12975,9478640023","14144,518115089","14665,2723219081","13682,7041799685","14373,5192516705","14656,772988721","14962,0811110031","15117,9949961611","13545,6736282111","14840,9133313245"
Central African Republic,CAF,"1200,6133902403","1157,3816628019","1049,1194148563","1019,4410062692","1036,2839012204","1080,7700610947","1010,7438887475","1035,107458219","1054,3129732191","1062,2982575315","1007,2478344294","1028,7914078519","1042,7086445441","962,8648367518","998,6890996616","985,3248159656","1011,7775095287","1038,7501326468","1038,3352861776","1103,4637660212","1130,8957080808","1160,4147414355","1208,5157704993","764,0515002466","765,2595539834","795,037018678","818,3959952764","839,6000094521","854,6474913049","861,7667887559","847,7650124206","837,5046857254"
Canada,CAN,,,,,,,,"36910,477860824","38031,624764122","39671,3846482747","41338,6470179142","41623,9503409049","42416,4087525762","42793,0792526308","43704,4139089537","44680,7964889693","45396,8396580252","45888,4763265252","45851,6302484565","44003,6170419636","44861,5239641879","45822,5964338567","46126,5138859002","46704,7622355677","47564,609109622","47522,1406673151","47457,5853457244","48317,1745835151","48962,4815108923","49171,5110858739","46064,2539577156","47892,9471262262"
Central Europe and the Baltics,CEB,"13980,6031576356","12633,0594123463","12375,2349009561","12570,9181732002","13082,9085823803","13845,9688760072","14506,686113341","14790,3305292291","15193,9384992064","15482,9235237582","16183,1122598077","16810,0332368226","17542,6568018988","18304,7852326797","19457,3703780706","20480,7309147695","21886,7423942502","23374,7435907586","24440,8753875974","23658,6561031737","24033,0497250298","24954,1064891163","25233,4928722132","25452,951066099","26334,9215929349","27449,7328122481","28280,9118679476","29827,6191720997","31379,2411861301","32671,243801583","31634,6601309635","33834,0763287281"
