"","Country","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989"
114,"Moldova","","","","","","","","","",""
115,"Mongolia","","","","","","","","","",""
116,"Montenegro","","","","","","","","","",""
117,"Morocco",1615.0,1675.0,1900.0,1918.0,2025.0,2169.0,2342.0,2284.0,2553.0,2654.0
118,"Mozambique",209.0,235.0,227.0,195.0,186.0,192.0,190.0,224.0,252.0,278.0
119,"Myanmar","","","","","","","","","",""
120,"Namibia","","","","","","","","","",""
121,"Nauru","","","","","","","","","",""
122,"Nepal",447.0,518.0,557.0,549.0,610.0,652.0,681.0,694.0,757.0,801.0
123,"Netherlands",11708.0,12644.0,13182.0,13887.0,14780.0,15588.0,16313.0,16926.0,18202.0,19643.0
124,"New Zealand",9177.0,10289.0,11152.0,11465.0,12567.0,12995.0,13375.0,13916.0,14354.0,14828.0
125,"Nicaragua","","","","","","","","","",""
126,"Niger",703.0,743.0,779.0,752.0,627.0,674.0,708.0,704.0,755.0,768.0
127,"Nigeria","","","","","","","","","",""
128,"North Macedonia","","","","","","","","","",""
129,"Norway",14800.0,16400.0,17389.0,18734.0,20528.0,22281.0,23565.0,24429.0,25092.0,26269.0
130,"Oman",9938.0,11759.0,13921.0,15575.0,17156.0,20268.0,19800.0,18334.0,19976.0,20191.0
131,"Pakistan",950.0,1073.0,1190.0,1284.0,1345.0,1468.0,1551.0,1639.0,1759.0,1868.0
132,"Palau","","","","","","","","","",""
133,"Panama",3531.0,4120.0,4501.0,4365.0,4541.0,4807.0,4969.0,4893.0,4296.0,4440.0
134,"Papua New Guinea",1074.0,1158.0,1212.0,1274.0,1279.0,1333.0,1408.0,1504.0,1556.0,1528.0
135,"Paraguay",3533.0,4099.0,4167.0,4076.0,4216.0,4386.0,4348.0,4495.0,4775.0,5090.0
136,"Peru",3111.0,3503.0,3619.0,3330.0,3498.0,3601.0,4026.0,4346.0,3987.0,3512.0
137,"Philippines",1923.0,2123.0,2279.0,2353.0,2205.0,2058.0,2119.0,2210.0,2389.0,2575.0
138,"Poland",4824.0,4710.0,4715.0,5102.0,5221.0,5553.0,5826.0,6077.0,6492.0,6996.0
139,"Portugal",6061.0,6809.0,7341.0,7667.0,7831.0,8188.0,8622.0,9512.0,10385.0,11526.0
140,"Puerto Rico",6926.0,7600.0,7757.0,8026.0,8842.0,9221.0,10074.0,10720.0,11695.0,12614.0
141,"Qatar",85154.0,82690.0,74835.0,68713.0,77414.0,65757.0,66236.0,65708.0,68448.0,72093.0
142,"Romania",4955.0,5397.0,5925.0,6501.0,7110.0,7295.0,7580.0,7786.0,7978.0,7782.0
143,"Russia","","","","","","","","","",""
144,"Rwanda",413.0,447.0,446.0,474.0,541.0,564.0,587.0,579.0,581.0,551.0
145,"Samoa","","","","","","","","","",""
146,"San Marino","","","","","","","","","",""
147,"São Tomé and Príncipe",1559.0,1500.0,1607.0,1568.0,1489.0,1635.0,1530.0,1480.0,1519.0,1582.0
148,"Saudi Arabia",44859.0,47672.0,38212.0,31746.0,29864.0,26466.0,30087.0,27414.0,30571.0,30104.0
149,"Senegal",1069.0,1197.0,1333.0,1274.0,1330.0,1376.0,1404.0,1481.0,1479.0,1551.0
150,"Serbia","","","","","","","","","",""
151,"Seychelles",4354.0,4526.0,4678.0,4837.0,5197.0,5865.0,5991.0,6171.0,6704.0,7638.0
152,"Sierra Leone",783.0,852.0,902.0,901.0,944.0,891.0,890.0,914.0,945.0,1007.0
153,"Singapore",9479.0,10959.0,11927.0,13281.0,14690.0,15039.0,15563.0,17406.0,19547.0,21730.0
154,"Slovakia","","","","","","","","","",""
155,"Slovenia","","","","","","","","","",""
156,"Solomon Islands",967.0,1005.0,1015.0,1061.0,1067.0,1035.0,1023.0,1105.0,1126.0,1187.0
157,"Somalia","","","","","","","","","",""
158,"South Africa",5110.0,5745.0,5922.0,5886.0,6250.0,6221.0,6207.0,6356.0,6712.0,6990.0
159,"South Sudan","","","","","","","","","",""
160,"Spain",7819.0,8444.0,9028.0,9492.0,9962.0,10483.0,11029.0,11919.0,12964.0,14118.0
161,"Sri Lanka",1210.0,1377.0,1519.0,1612.0,1764.0,1891.0,1992.0,2051.0,2158.0,2271.0
162,"Saint Kitts and Nevis",3008.0,3400.0,3850.0,3939.0,4501.0,4975.0,5566.0,6227.0,7166.0,7933.0
163,"Saint Lucia",2434.0,2762.0,2957.0,3156.0,3483.0,3983.0,4578.0,4807.0,5586.0,6217.0
164,"Saint Vincent and the Grenadines",1937.0,2183.0,2359.0,2511.0,2719.0,2904.0,3102.0,3178.0,3701.0,3952.0
165,"Sudan",1080.0,1221.0,1312.0,1305.0,1219.0,1216.0,1327.0,1408.0,1491.0,1533.0
166,"Suriname","","","","","","","","","",""
167,"Sweden",10532.0,12044.0,12960.0,13740.0,14833.0,15629.0,16372.0,17264.0,18216.0,19279.0
168,"Switzerland",18092.0,20029.0,20856.0,21678.0,23084.0,24591.0,25433.0,26310.0,27943.0,30083.0
169,"Syria",2073.0,2379.0,2507.0,2562.0,2402.0,2571.0,2418.0,2426.0,2739.0,2587.0
170,"Taiwan",3446.0,3967.0,4338.0,4843.0,5441.0,5809.0,6542.0,7476.0,8264.0,9244.0
171,"Tajikistan","","","","","","","","","",""
172,"Tanzania",580.0,619.0,641.0,661.0,687.0,719.0,759.0,799.0,838.0,877.0
173,"Thailand",1576.0,1791.0,1966.0,2117.0,2278.0,2416.0,2554.0,2815.0,3244.0,3723.0
174,"Timor-Leste","","","","","","","","","",""
175,"Togo",997.0,1020.0,1006.0,955.0,1010.0,1043.0,1063.0,1029.0,1138.0,1198.0
176,"Tonga",723.0,897.0,1069.0,1163.0,1718.0,1882.0,2100.0,2182.0,2169.0,2268.0
177,"Trinidad and Tobago",6975.0,7859.0,8522.0,7818.0,7522.0,7343.0,7165.0,6942.0,6850.0,7009.0
178,"Tunisia",2243.0,2519.0,2599.0,2761.0,2990.0,3155.0,3053.0,3269.0,3330.0,3487.0
179,"Turkey",3516.0,3927.0,4215.0,4486.0,4858.0,5116.0,5471.0,6051.0,6280.0,6427.0
180,"Turkmenistan","","","","","","","","","",""
181,"Tuvalu","","","","","","","","","",""
182,"Uganda",525.0,580.0,646.0,683.0,665.0,644.0,640.0,657.0,710.0,757.0
183,"Ukraine","","","","","","","","","",""
184,"United Arab Emirates",89076.0,96709.0,89601.0,85306.0,85271.0,81399.0,64245.0,66552.0,56222.0,65074.0
185,"United Kingdom",9085.0,9871.0,10700.0,11581.0,12247.0,13122.0,13777.0,14848.0,16200.0,17199.0
186,"United States",12553.0,13949.0,14405.0,15514.0,17086.0,18199.0,19035.0,20001.0,21376.0,22814.0
187,"Uruguay",5050.0,5594.0,5347.0,5198.0,5274.0,5422.0,5913.0,6381.0,6600.0,6896.0
188,"Uzbekistan","","","","","","","","","",""
189,"Vanuatu",944.0,1042.0,1092.0,1141.0,1256.0,1260.0,1246.0,1223.0,1210.0,1268.0
190,"Venezuela",7947.0,8332.0,8819.0,8034.0,8520.0,8625.0,9222.0,9661.0,10392.0,9075.0
191,"Vietnam",538.0,611.0,688.0,751.0,827.0,884.0,914.0,939.0,1003.0,1101.0
192,"Palestine","","","","","","","","","",""
193,"Yemen","","","","","","","","","",""
194,"Zambia",1321.0,1493.0,1491.0,1486.0,1468.0,1488.0,1498.0,1513.0,1661.0,1614.0
195,"Zimbabwe","","","","","","","","","",""
